LTLA,ts0300001,ts0300002,ts0300003,ts0300004,ts0300005,ts0300006,ts0300007,ts0300008,ts0300009,ts0300010
E07000242,150158,62816,73732,546,921,560,1756,224,652,8951
E07000243,89495,40158,38712,398,1397,163,2822,307,523,5015
E07000244,246058,110438,115943,814,692,266,1293,151,1385,15076
E07000245,179945,76597,87174,810,669,198,1866,110,967,11554
E07000246,157445,66037,78122,516,432,117,918,67,891,10345
E08000001,295963,76244,139144,576,5887,159,58997,219,979,13758
E08000002,193851,57008,94669,508,874,10734,19243,575,649,9591
E08000003,551938,179037,199873,3219,6048,2632,122962,2718,2736,32713
E08000004,242088,60507,108720,468,1222,146,59031,132,589,11273
E08000005,223772,64349,104841,398,613,218,42121,191,675,10366
E08000006,269923,96140,128785,1022,2113,10373,13542,728,1068,16152
E08000007,294773,116749,139951,964,2388,1234,16332,503,1207,15445
E08000008,231071,87910,110539,588,3096,87,16945,181,879,10846
E08000009,235055,77864,113712,955,4656,2408,20549,1984,920,12007
E08000010,329330,99784,206870,831,995,84,4155,122,1099,15390
E08000011,154519,42001,102929,260,456,86,968,65,285,7469
E08000012,486088,142994,278330,2128,3802,1807,25756,641,1991,28639
E08000013,183246,57184,114200,501,597,63,1340,54,652,8655
E08000014,279233,79905,179806,681,1095,364,2257,133,980,14012
E08000015,320201,119447,176159,1015,1406,256,3257,311,1258,17092
E08000016,244571,102906,125502,435,416,62,1404,256,862,12728
E08000017,308106,122645,156747,821,1294,116,6898,1391,1724,16470
E08000018,265807,105821,130147,542,666,81,13465,461,932,13692
E08000019,556521,241556,214136,2215,3759,649,57044,927,2635,33600
E08000021,300126,122485,124009,1352,4212,573,26896,1449,1281,17869
E08000022,208966,96413,97333,587,823,128,2517,437,774,9954
E08000023,147776,58045,77783,264,259,36,3736,461,520,6672
E08000024,274172,108261,145806,539,611,87,4846,915,835,12272
E08000025,1144917,276327,389406,4340,21997,1687,341811,33126,6367,69856
E08000026,345326,102338,151577,1257,13724,259,35800,17297,1908,21166
E08000027,323488,116404,159461,798,2193,83,19978,5316,1463,17792
E08000028,341835,89102,136354,943,9447,79,45763,39252,2430,18465
E08000029,216241,71065,109707,594,6037,283,11532,5029,821,11173
E08000030,284124,85819,126921,533,5096,74,32107,17148,1658,14768
E08000031,263729,73317,115640,915,9882,94,14489,31769,3158,14465
E08000032,546411,154305,182566,959,4757,254,166846,4834,2074,29816
E08000033,206631,86787,85677,630,1173,153,19650,387,1045,11129
E08000034,433216,150599,170577,996,1723,187,80046,3476,1663,23949
E08000035,811953,326231,343311,2874,9217,6267,63054,10047,3637,47315
E08000036,353371,145950,173070,797,1270,127,11279,501,1405,18972
E08000037,196153,78572,99572,469,522,2905,4126,386,797,8804
E09000001,8582,3763,2976,95,203,177,540,6,55,767
E09000002,218867,41191,99342,821,6596,272,53389,4284,981,11991
E09000003,389344,78684,142321,4158,22105,56616,47688,1524,5192,31056
E09000004,246472,82816,123908,2048,7516,217,9721,5272,988,13986
E09000005,339817,46153,131914,3117,52876,3723,72574,1530,4424,23506
E09000006,329991,122943,159452,2100,9644,966,10876,1068,1704,21238
E09000007,210138,72776,65980,2410,3991,10079,33830,487,1842,18743
E09000008,390719,101119,190880,2371,23145,609,40717,1654,3189,27035
E09000009,367114,70233,138937,4003,28236,1041,68907,28491,2733,24533
E09000010,329984,65241,153015,1716,10231,3713,61477,1199,10351,23041
E09000011,289066,94208,129112,5034,11647,603,24715,3229,1802,18716
E09000012,259145,94113,79499,2343,1998,17426,34578,1867,4879,22442
E09000013,183157,56059,83673,1723,2209,1228,21290,450,1227,15298
E09000014,264238,83535,103944,2455,3529,9397,33295,892,6164,21027
E09000015,261203,27748,88602,2812,67392,7304,41503,2743,7695,15404
E09000016,262052,80235,136765,1092,6454,1305,16135,4498,1056,14512
E09000017,305909,59214,119434,2621,33020,1392,44077,26339,2683,17129
E09000018,288182,53502,110269,3932,27360,622,48028,24677,2323,17469
E09000019,216592,88466,75129,1813,2195,2714,25840,603,2930,16902
E09000020,143375,35610,69335,1606,1584,2681,16865,319,1064,14311
E09000021,168065,57641,71670,1726,8456,693,13366,1428,1119,11966
E09000022,317656,119123,138714,2437,3179,1344,25871,527,2351,24110
E09000023,300553,110379,131706,3270,6459,826,22264,720,2269,22660
E09000024,215187,60224,101320,1899,12610,754,21673,614,1205,14888
E09000025,351036,50795,123746,2160,21405,448,122146,5638,1765,22933
E09000026,310260,38999,94473,1611,34372,6412,97068,17622,2028,17675
