LTLA,ts0540001,ts0540002,ts0540003,ts0540004,ts0540005,ts0540006,ts0540007,ts0540008,ts0540009,ts0540010,ts0540011,ts0540012,ts0540013
E09000024,81726,45468,20695,24773,869,869,11599,2342,9257,23748,21998,1750,42
E09000025,115511,35579,14695,20884,2739,2739,32390,17989,14401,44479,41391,3088,324
E09000026,103714,59221,27956,31265,983,983,11707,6604,5103,31576,29079,2497,227
E09000027,80704,50361,24535,25826,560,560,9752,1829,7923,19970,18393,1577,61
E09000028,130820,37749,13879,23870,3182,3182,51991,35433,16558,37506,34493,3013,392
E09000029,82347,53047,23400,29647,889,889,11667,5399,6268,16683,15372,1311,61
E09000030,120539,27883,9424,18459,3143,3143,43237,16697,26540,46000,43126,2874,276
E09000031,102901,50356,20817,29539,1700,1700,22099,10737,11362,28593,26361,2232,153
E09000032,137392,58325,24410,33915,2509,2509,26544,16653,9891,49830,46295,3535,184
E09000033,94816,25962,15213,10749,695,695,26810,12418,14392,41065,36871,4194,284
W06000001,30824,21020,13756,7264,87,87,4820,3783,1037,4799,3735,1064,98
W06000002,51105,33428,22214,11214,150,150,8557,3524,5033,8865,7060,1805,105
W06000003,52235,35726,22759,12967,291,291,6257,2051,4206,9920,8526,1394,41
W06000004,42387,27940,16828,11112,234,234,5648,3298,2350,8492,7295,1197,73
W06000005,66911,48019,25945,22074,307,307,9714,6985,2729,8839,7544,1295,32
W06000006,57915,36218,19947,16271,182,182,12161,9958,2203,9166,7890,1276,188
W06000008,30891,21176,14798,6378,96,96,3239,752,2487,6371,5294,1077,9
W06000009,55487,37203,24647,12556,141,141,8994,5691,3303,9114,7277,1837,35
W06000010,81759,57565,35629,21936,209,209,11698,8540,3158,12171,10048,2123,116
W06000011,104962,65386,37162,28224,315,315,20045,12257,7788,18901,16417,2484,315
W06000012,62377,41511,23850,17661,99,99,11999,4657,7342,8652,7014,1638,116
W06000013,62360,43961,23670,20291,136,136,8674,2087,6587,9526,8128,1398,63
W06000014,57449,41283,22052,19231,135,135,7023,3660,3363,8977,7474,1503,31
W06000015,147333,85427,42072,43355,439,439,25278,12883,12395,35785,32757,3028,404
W06000016,103339,70629,39686,30943,173,173,14175,5744,8431,18238,15671,2567,124
W06000018,76255,51502,27449,24053,228,228,14323,10065,4258,10154,8598,1556,48
W06000019,30340,18222,10564,7658,36,36,7194,2776,4418,4847,4160,687,41
W06000020,40241,25915,13952,11963,223,223,9575,3324,6251,4495,3701,794,33
W06000021,40922,29429,17738,11691,147,147,5743,1493,4250,5582,4674,908,21
W06000022,66054,41559,20172,21387,474,474,12864,5648,7216,11019,9663,1356,138
W06000023,60182,40684,28098,12586,151,151,8481,5294,3187,10760,8592,2168,106
W06000024,25783,16113,9101,7012,33,33,5626,2168,3458,3967,3325,642,44
