LTLA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011
E07000166,24679,3485,2570,1907,2774,1217,805,645,819,6700,3757
E07000167,25961,3480,1556,1767,3407,2016,962,650,547,7609,3967
E07000168,46548,10414,6352,4248,2794,2943,1208,959,1357,8837,7436
E07000169,46127,4017,2567,3769,7232,4514,1776,957,793,14331,6171
E07000170,58431,7139,9309,9679,7595,2454,785,492,787,11460,8731
E07000171,54918,7640,6616,5211,8441,4629,1743,1051,956,10741,7890
E07000172,51916,4631,7023,8234,5545,1078,549,317,755,17302,6482
E07000173,56186,4758,8124,9746,4600,1792,548,403,594,17220,8401
E07000174,51367,6094,9631,8096,6410,2429,851,476,695,8757,7928
E07000175,57114,6915,6285,4528,7895,4713,1671,920,964,14786,8437
E07000176,56976,3431,4782,6597,6558,2399,945,480,869,24680,6235
E07000177,84972,12865,8561,5691,8658,5510,2539,1460,1593,27343,10752
E07000178,73328,12938,14198,4222,3184,923,920,581,1357,28427,6578
E07000179,76476,6909,4417,6642,8572,3974,1377,1104,1065,32709,9707
E07000180,70864,5900,4917,7513,8118,3734,1191,692,965,29239,8595
E07000181,58926,7316,2897,6157,7387,3571,1028,551,966,20629,8424
E07000187,55671,7574,3792,5108,6876,3387,1514,625,700,17105,8990
E07000188,59147,8623,6970,4611,9340,2894,1503,1212,838,13532,9624
E07000189,80931,12812,7642,7582,10663,4867,1884,1475,1441,20337,12228
E07000192,48877,5534,6005,5248,8416,3239,1069,474,517,9529,8846
E07000193,59318,9355,8494,5984,7604,3595,1567,1047,731,13235,7706
E07000194,50470,4229,3547,5927,7713,3723,974,611,606,15959,7181
E07000195,56682,6608,10618,8934,5518,1818,608,816,953,13009,7800
E07000196,50699,3067,4091,8380,7734,3064,1069,722,609,14069,7894
E07000197,65764,7362,7505,6185,8055,4863,1594,1002,1048,19775,8375
E07000198,45033,4784,2795,6396,8863,2082,987,845,558,10949,6774
E07000199,38158,4736,6865,3197,5210,3039,825,336,458,8238,5254
E07000200,42957,4413,2815,3658,5859,3079,1103,677,893,13171,7289
E07000202,67026,11166,12594,5498,5460,2013,1353,819,1109,16664,10350
E07000203,50024,3598,2860,4750,7171,4185,1696,1162,853,15527,8222
E07000207,66981,4145,5395,5673,4922,2850,500,180,320,35983,7013
E07000208,39909,3385,4010,3867,3399,1479,242,152,170,17930,5275
E07000209,69774,7096,6356,5615,5689,2319,1321,1259,591,30814,8714
E07000210,42341,3178,2606,3618,4389,1804,754,273,221,19379,6119
E07000211,75127,6330,7160,7217,6751,3154,1704,614,400,31589,10208
E07000212,42456,3899,4465,4682,4074,1439,721,220,375,16530,6051
E07000213,51538,3674,6305,7864,4518,1942,408,221,310,18497,7799
E07000214,45364,3829,4163,4362,4627,2229,782,764,440,18509,5659
E07000215,42575,2350,2509,4435,4640,2176,902,398,208,18441,6516
E07000216,60722,4903,3832,3886,6282,1955,1039,1640,528,28929,7728
E07000217,52742,4636,4882,5336,3845,1439,1387,474,307,23570,6866
E07000218,31754,2623,2782,4556,5027,2227,736,322,352,8411,4718
E07000219,63115,7434,10113,8664,8173,3943,1078,540,788,14461,7921
E07000220,58105,6483,8730,6531,6426,2808,1333,856,888,17792,6258
E07000221,66236,6062,3015,5159,9174,4249,2028,1116,918,26151,8364
E07000222,72749,8293,7646,5711,6553,2743,946,649,971,32535,6702
E07000223,29823,3313,3396,3961,2516,747,525,223,343,9266,5533
E07000224,73191,8933,7825,11074,8047,2805,1256,1229,1252,18060,12710
E07000225,56364,7063,4276,4436,6003,2642,1177,1185,1196,19385,9001
E07000226,58898,6667,10717,5672,5544,1602,1379,1536,467,15903,9411
E07000227,72164,5713,4658,5170,8890,4201,1708,1564,671,29417,10172
E07000228,76572,8554,5552,5813,8483,3142,1032,1920,809,31314,9953
E07000229,53559,8719,8269,3114,4363,2227,690,535,679,16767,8196
E07000234,47287,3416,3415,5325,8348,2402,668,367,515,16436,6395
E07000235,35800,3592,2833,3424,4239,1914,890,664,535,12483,5226
E07000236,42694,5918,9211,3061,4364,2892,528,252,416,9872,6180
E07000237,51626,9031,9421,3182,4021,2412,1865,643,634,13607,6810
E07000238,63660,6140,5645,6817,7830,4864,1837,1188,793,19207,9339
E07000239,45791,6084,6223,4170,5399,3833,937,530,496,10559,7560
E07000240,72871,5835,5168,5784,4886,2777,1984,477,376,38594,6990
E07000241,58149,6906,5628,5156,6270,2863,1420,451,428,21001,8026
E07000242,76527,6833,4480,6479,8345,3699,2774,1595,421,31278,10623
E07000243,45460,5542,7476,2617,4278,1991,1388,1312,307,12876,7673
E07000244,106366,13979,11448,9105,13015,4367,3391,3432,2799,27774,17056
E07000245,89619,13525,8397,6553,10771,9094,2798,2137,1520,21104,13720
E07000246,73293,12175,8609,5857,7310,3701,2368,1268,1485,19392,11128
E08000001,125437,15111,20309,17711,14225,5699,1002,593,1106,29568,20113
E08000002,88483,9801,11859,13467,10454,2261,618,580,737,26579,12127
E08000003,234287,28238,39156,35535,17342,3211,1758,2232,3140,73964,29711
E08000004,98208,13138,17675,15256,9876,2317,1169,867,944,20903,16063
E08000005,94456,12367,15850,15092,10392,3000,1025,695,964,20151,14920
E08000006,127604,16966,20115,17005,12484,2598,1092,1011,1319,39039,15975
E08000007,139806,13182,19955,20186,14211,1993,815,1071,1112,50157,17124
E08000008,105654,12419,17406,17283,12293,1747,772,801,911,25970,16052
E08000009,111556,9724,14627,15256,9956,2121,864,923,955,45450,11680
E08000010,154615,17195,21538,22456,20660,8266,2384,649,1495,34432,25540
E08000011,69494,7623,9779,13422,9465,1206,603,556,710,14880,11250
E08000012,205753,24023,38963,35699,15132,4026,1052,2374,2391,53721,28372
E08000013,82623,8428,13414,12468,11439,3079,1496,378,779,18973,12169
E08000014,124597,14520,15944,14452,15818,6454,1669,1233,1174,34750,18583
E08000015,139503,14177,21803,23925,14991,4459,1099,1277,1641,37299,18832
E08000016,111681,11844,15670,17395,16906,5746,1353,714,1291,22340,18422
E08000017,137859,15107,19924,22414,17756,7327,2960,2014,2135,25503,22719
E08000018,117805,10991,16097,20778,17958,3297,1308,1414,1457,24750,19755
E08000019,242007,26487,42659,40297,18253,4706,2137,2384,2886,69654,32544
E08000021,125078,14494,23425,18936,8795,2430,596,1110,2172,37529,15591
E08000022,97264,9667,15154,15781,10744,1126,496,588,1218,30738,11752
E08000023,62505,7053,10322,11382,6771,1082,227,504,919,14779,9466
E08000024,117151,13789,20071,19596,14598,2222,1225,532,1408,27418,16292
E08000025,442418,44638,72746,77482,43586,11183,4907,3655,7021,114058,63142
E08000026,150142,17375,28940,20030,13613,7386,1979,1367,2320,38674,18458
E08000027,144640,15801,26910,24364,16564,3469,1130,889,1396,31434,22683
E08000028,141071,15744,28398,27685,13427,2812,1519,1461,2009,26347,21669
E08000029,97939,6991,12004,14712,11189,3590,916,498,1236,35366,11437
E08000030,118531,13564,19909,20290,16610,3248,1228,1122,1376,22044,19140
E08000031,111312,13579,22477,16659,10977,6431,1185,1153,1664,21002,16185
