LTLA,ts0390001,ts0390002,ts0390003,ts0390004,ts0390005,ts0390006,ts0390007,ts0390008,ts0390009
E07000225,118759,108269,5877,4511,1366,1739,882,857,2874
E07000226,110856,101887,4334,3068,1266,2008,923,1085,2627
E07000227,139410,127798,6985,5501,1484,1797,877,920,2830
E07000228,144249,132667,6867,5330,1537,1836,917,919,2879
E07000229,105890,96173,5164,3923,1241,1721,855,866,2832
E07000234,94025,85120,5067,3810,1257,1430,759,671,2408
E07000235,76372,69028,4127,3142,985,1229,617,612,1988
E07000236,82044,74607,3501,2462,1039,1560,692,868,2376
E07000237,98590,90514,4151,3058,1093,1529,679,850,2396
E07000238,126241,114819,6040,4595,1445,2075,991,1084,3307
E07000239,96800,87244,4581,3264,1317,1917,926,991,3058
E07000240,139508,128632,6536,5116,1420,1707,846,861,2633
E07000241,113210,104123,5031,3719,1312,1703,799,904,2353
E07000242,141842,130842,6578,5121,1457,1739,911,828,2683
E07000243,83876,76273,3683,2681,1002,1643,760,883,2277
E07000244,235424,211851,11839,8723,3116,4441,2140,2301,7293
E07000245,170119,156790,6929,5152,1777,2338,1110,1228,4062
E07000246,150083,136241,7211,5439,1772,2661,1325,1336,3970
E08000001,277505,251525,11477,7910,3567,5902,2682,3220,8601
E08000002,182692,165816,8141,5775,2366,3640,1744,1896,5095
E08000003,517560,479346,15630,10472,5158,10400,4481,5919,12184
E08000004,226083,205397,8737,5932,2805,5078,2323,2755,6871
E08000005,209134,189720,8218,5534,2684,4700,2143,2557,6496
E08000006,252665,231773,8892,6152,2740,4950,2130,2820,7050
E08000007,278196,251993,13757,10028,3729,4971,2455,2516,7475
E08000008,217404,196729,9284,6456,2828,4672,2160,2512,6719
E08000009,221585,202763,10054,7362,2692,3681,1766,1915,5087
E08000010,311548,280073,13927,9511,4416,7051,3148,3903,10497
E08000011,144783,128331,6207,3792,2415,4262,1977,2285,5983
E08000012,459716,415537,17811,11632,6179,11413,5123,6290,14955
E08000013,173589,153065,8890,6037,2853,4722,2096,2626,6912
E08000014,265725,236703,13169,8958,4211,6495,3067,3428,9358
E08000015,303883,270384,15297,10564,4733,7330,3364,3966,10872
E08000016,231109,206377,10450,7128,3322,5815,2509,3306,8467
E08000017,291164,263032,11845,8085,3760,6468,2830,3638,9819
E08000018,251162,224849,10971,7528,3443,6030,2557,3473,9312
E08000019,526342,477333,23173,16562,6611,10535,4854,5681,15301
E08000021,284472,261079,10252,7209,3043,5474,2345,3129,7667
E08000022,197976,178292,9405,6642,2763,4108,1869,2239,6171
E08000023,139955,125073,6319,4218,2101,3514,1502,2012,5049
E08000024,260322,231105,11718,7865,3853,7103,3024,4079,10396
E08000025,1069896,978451,38488,26055,12433,23476,10323,13153,29481
E08000026,324882,297491,12838,8958,3880,6162,2843,3319,8391
E08000027,305312,273796,15007,10524,4483,6734,3091,3643,9775
E08000028,319656,290063,11710,7619,4091,7780,3332,4448,10103
E08000029,204546,184606,10051,7290,2761,3926,1859,2067,5963
E08000030,265931,239516,10729,7307,3422,6513,2860,3653,9173
E08000031,247401,224549,9648,6550,3098,5691,2535,3156,7513
E08000032,510315,464672,19877,13738,6139,11567,5151,6416,14199
E08000033,195314,177337,9193,6740,2453,3800,1730,2070,4984
E08000034,408072,371038,18517,13352,5165,7808,3588,4220,10709
E08000035,765153,703663,30851,22532,8319,12655,5965,6690,17984
E08000036,333296,301565,13868,9731,4137,7002,3085,3917,10861
E08000037,186099,167297,8254,5722,2532,4335,1925,2410,6213
E09000001,8372,7876,336,263,73,81,42,39,79
E09000002,201619,187395,5516,3533,1983,3989,1827,2162,4719
