LTLA,ts0560001,ts0560002,ts0560003,ts0560004
E09000012,259149,244266,8780,6103
E09000013,183157,162567,11656,8934
E09000014,264239,249047,8782,6410
E09000015,261203,249869,5705,5629
E09000016,262054,254042,5454,2558
E09000017,305909,291825,9052,5032
E09000018,288181,274092,7248,6841
E09000019,216589,195463,12464,8662
E09000020,143375,117944,10603,14828
E09000021,168063,157037,7113,3913
E09000022,317654,294265,15321,8068
E09000023,300553,285088,9915,5550
E09000024,215186,203962,6222,5002
E09000025,351036,334914,8183,7939
E09000026,310259,299183,6274,4802
E09000027,195278,180538,8779,5961
E09000028,307637,282090,16140,9407
E09000029,209640,202237,4778,2625
E09000030,310306,286904,12784,10618
E09000031,278426,267556,6159,4711
E09000032,327506,298929,18378,10199
E09000033,204236,174011,12531,17694
W06000001,68878,66165,2412,301
W06000002,117395,108558,7791,1046
W06000003,114741,110256,3872,613
W06000004,95818,92252,3052,514
W06000005,154961,149424,4809,728
W06000006,135117,130064,4458,595
W06000008,71473,64181,6477,815
W06000009,123360,118373,4242,745
W06000010,187897,181009,6128,760
W06000011,238490,220539,15831,2120
W06000012,142289,135446,6297,546
W06000013,145489,140429,4494,566
W06000014,131939,125831,4923,1185
W06000015,362308,324222,32670,5416
W06000016,237653,227565,9125,963
W06000018,175952,169847,5603,502
W06000019,66907,65090,1703,114
W06000020,92276,89400,2554,322
W06000021,92957,88964,3225,768
W06000022,159592,154104,4550,938
W06000023,133169,127571,4784,814
W06000024,58839,57054,1605,180
