LTLA,ts0250001,ts0250002,ts0250003,ts0250004,ts0250005
E07000241,46209,40855,2236,779,2339
E07000242,62023,58330,1637,395,1661
E07000243,36511,33033,1324,596,1558
E07000244,110746,107860,1266,357,1263
E07000245,78746,73566,1735,721,2724
E07000246,69986,66596,1122,453,1815
E08000001,118790,104196,6204,2017,6373
E08000002,80694,74419,2805,816,2654
E08000003,214732,167940,17459,6351,22982
E08000004,93140,80697,6683,1554,4206
E08000005,90225,79557,5140,1437,4091
E08000006,115116,100184,4275,1698,8959
E08000007,126648,119692,3155,897,2904
E08000008,99527,92756,2851,900,3020
E08000009,96268,87666,3918,1397,3287
E08000010,143105,137357,1744,834,3170
E08000011,66073,63828,651,321,1273
E08000012,207492,185608,5876,2756,13252
E08000013,81011,78442,773,359,1437
E08000014,123073,118046,1578,615,2834
E08000015,143255,139112,1744,488,1911
E08000016,108053,102888,1158,610,3397
E08000017,133480,123022,2364,1286,6808
E08000018,113925,108427,2120,816,2562
E08000019,231952,208854,8854,3081,11163
E08000021,122797,108326,5076,1966,7429
E08000022,96232,93377,1213,365,1277
E08000023,68287,66480,821,272,714
E08000024,122179,118610,1437,400,1732
E08000025,423456,335085,42484,10819,35068
E08000026,134140,107319,9128,3422,14271
E08000027,137069,129594,3579,806,3090
E08000028,130246,105246,10315,3521,11164
E08000029,89483,84550,2302,723,1908
E08000030,112229,98793,5910,1752,5774
E08000031,105141,87257,6407,2395,9082
E08000032,209869,174485,18758,3807,12819
E08000033,90474,85180,2731,555,2008
E08000034,177988,160454,9297,1887,6350
E08000035,341467,305038,12821,5101,18507
E08000036,153075,143641,2850,1302,5282
E08000037,88999,84863,1292,570,2274
E09000001,4914,3670,387,42,815
E09000002,73904,51548,8753,4270,9333
E09000003,148917,104866,16899,5515,21637
E09000004,95300,84248,4635,1912,4505
E09000005,118612,69400,19431,5800,23981
E09000006,135827,121530,6448,2208,5641
E09000007,92759,67055,11335,1872,12497
E09000008,152946,122932,12189,4453,13372
E09000009,133659,82290,19976,6393,25000
E09000010,120923,84068,15211,5476,16168
