variable_name,variable_code,table_ID,table_name,country,new_code,domain
Two or more cars or vans,ni2210004,ni221,Car or Van Availability - 3 Categories,ni,v39,Housing
Under occupation,under_occupation,ni153,Household: Rooms (Occupancy Rating),ni,v40,Housing
Overcrowding,ni1520003,ni152,Household: Rooms (Occupancy Rating) - 3 Categories,ni,v41,Housing
Social rented,ni1070003,ni107,Household: Tenure - 5 Categories,ni,v42,Housing
Private rented,ni1070004,ni107,Household: Tenure - 5 Categories,ni,v43,Housing
Ownership or shared ownership,ni1070002,ni107,Household: Tenure - 5 Categories,ni,v44,Housing
Part-time,ni1130002,ni113,Hours Worked - 3 Categories,ni,v45,Labour Market
Full-time,ni1130003,ni113,Hours Worked - 3 Categories,ni,v46,Labour Market
L15 Full-time students,ni1490017,ni149,National Statistics Socio-economic Classification,ni,v47,Labour Market
1. Managers directors and senior officials,ni1550002,ni155,Occupation (Current) - 10 Categories,ni,v48,Labour Market
2. Professional occupations,ni1550003,ni155,Occupation (Current) - 10 Categories,ni,v49,Labour Market
3. Associate professional and technical occupations,ni1550004,ni155,Occupation (Current) - 10 Categories,ni,v50,Labour Market
4. Administrative and secretarial occupations,ni1550005,ni155,Occupation (Current) - 10 Categories,ni,v51,Labour Market
5. Skilled trades occupations,ni1550006,ni155,Occupation (Current) - 10 Categories,ni,v52,Labour Market
6. Caring leisure and other service occupations,ni1550007,ni155,Occupation (Current) - 10 Categories,ni,v53,Labour Market
7. Sales and customer service occupations,ni1550008,ni155,Occupation (Current) - 10 Categories,ni,v54,Labour Market
8. Process plant and machine operatives,ni1550009,ni155,Occupation (Current) - 10 Categories,ni,v55,Labour Market
9. Elementary occupations,ni1550010,ni155,Occupation (Current) - 10 Categories,ni,v56,Labour Market
Economically active: Unemployed,ni0500005,ni050,Economic Activity - 12 Categories,ni,v57,Labour Market
Level 1 Level 2 or Apprenticeship,level_1_2_and_appr,ni110,Qualifications (Highest Level),ni,v58,Education
Level 3 qualifications,ni1100006,ni110,Qualifications (Highest Level),ni,v59,Education
Level 4 qualifications or above,ni1100007,ni110,Qualifications (Highest Level),ni,v60,Education
Lives in a communal establishment,UV101b0003,UV101b,Usual resident population by sex by age (6),scot,v01,Demography and Migration
Never married and never registered a civil partnership,UV1040002,UV104,Marital and civil partnership status,scot,v02,Demography and Migration
Married or in a registered civil partnership,UV1040003,UV104,Marital and civil partnership status,scot,v03,Demography and Migration
Separated or divorced,separated_divorced,UV104,Marital and civil partnership status,scot,v04,Demography and Migration
One-person household,UV1120002,UV112,Household composition - People,scot,v05,Demography and Migration
Families with no children,no_children,UV112,Household composition - People,scot,v06,Demography and Migration
Families dependent children,dependant_children,UV112,Household composition - People,scot,v07,Demography and Migration
Europe: United Kingdom,UV2040003,UV204,Country of birth ,scot,v08,Demography and Migration
Europe: EU countries,UV2040010,UV204,Country of birth,scot,v09,Demography and Migration
Europe: Non-EU countries,UV2040027,UV204,Country of birth ,scot,v10,Demography and Migration
Africa,UV2040031,UV204,Country of birth,scot,v11,Demography and Migration
Population density (number of usual residents per square kilometre) ,population_density,population_density,Population density,scot,v12,Demography and Migration
Aged 4 years and under,age_4_and_under,UV103,Age,scot,v13,Demography and Migration
Aged 5 to 14,age_5_14,UV103,Age,scot,v14,Demography and Migration
Aged 25 to 44,age_25_44,UV103,Age,scot,v15,Demography and Migration
Aged 45 to 64,age_45_64,UV103,Age,scot,v16,Demography and Migration
Aged 65 to 84,age_65_84,UV103,Age,scot,v17,Demography and Migration
Aged 85 years and over,age_85_and_over,UV103,Age,scot,v18,Demography and Migration
Address one year ago is the same as the address of enumeration,Same_as_the_address_of_enumeration,migrant_indicator,Migrant Indicator,scot,v19,Demography and Migration
Bangladeshi,UV2010013,UV201,Ethnic group (21) ,scot,v20,"Ethnicity, Identity, Language and Religion"
Chinese,UV2010014,UV201,Ethnic group (21) ,scot,v21,"Ethnicity, Identity, Language and Religion"
Indian,UV2010012,UV201,Ethnic group (21) ,scot,v22,"Ethnicity, Identity, Language and Religion"
Pakistani,UV2010011,UV201,Ethnic group (21) ,scot,v23,"Ethnicity, Identity, Language and Religion"
Other Asian,UV2010015,UV201,Ethnic group (21) ,scot,v24,"Ethnicity, Identity, Language and Religion"
Black,UV2010021,UV201,Ethnic group (21) ,scot,v25,"Ethnicity, Identity, Language and Religion"
Mixed or Multiple ethnic groups,UV2010009,UV201,Ethnic group (21) ,scot,v26,"Ethnicity, Identity, Language and Religion"
White,UV2010002,UV201,Ethnic group (21) ,scot,v27,"Ethnicity, Identity, Language and Religion"
All household members have the same ethnic group,UV2030003,UV203,Multiple ethnic groups,scot,v28,"Ethnicity, Identity, Language and Religion"
Cannot speak English well or at all,cannot_speak_English,UV210,English language skills,scot,v29,"Ethnicity, Identity, Language and Religion"
No religion,UV2050012,UV205,Religion,scot,v30,"Ethnicity, Identity, Language and Religion"
Christian,christian,UV205,Religion,scot,v31,"Ethnicity, Identity, Language and Religion"
Other religion,UV2050011,UV205,Religion,scot,v32,"Ethnicity, Identity, Language and Religion"
Standardised Illness Ratio,SIR,SIR,Disability,scot,v33,"Health, Disability and Unpaid Care"
Provides unpaid care,UV3010003,UV301,Provision of unpaid care,scot,v34,"Health, Disability and Unpaid Care"
Detached,UV4010003,UV401,Accommodation type - People,scot,v35,Housing
Semi-detached,UV4010004,UV401,Accommodation type - People,scot,v36,Housing
Terraced (including end-terrace),UV4010005,UV401,Accommodation type - People,scot,v37,Housing
Lives in a flat,UV4010006,UV401,Accommodation type - People,scot,v38,Housing
Two or more cars or vans,cars_2_or_more,UV405,Car or van availability,scot,v39,Housing
Under occupation,under_occupation,UV415,Occupancy rating for bedrooms,scot,v40,Housing
Overcrowding,UV4150005,UV415,Occupancy rating for bedrooms,scot,v41,Housing
Social rented,UV4040007,UV404,Household tenure - People,scot,v42,Housing
Private rented,UV4040008,UV404,Household tenure - People,scot,v43,Housing
Ownership or shared ownership,UV4040002,UV404,Household tenure - People,scot,v44,Housing
Part-time,hours_part,UV604,Hours worked,scot,v45,Labour Market
Full-time,hours_full,UV604,Hours worked,scot,v46,Labour Market
L15 Full-time students,UV6070017,UV607,National Statistics Socio-economic Classification (NS-SeC),scot,v47,Labour Market
1 Managers directors and senior officials,UV6060002,UV606,Occupation,scot,v48,Labour Market
2 Professional occupations,UV6060005,UV606,Occupation,scot,v49,Labour Market
3 Associate professional and technical occupations,UV6060010,UV606,Occupation,scot,v50,Labour Market
4 Administrative and secretarial occupations,UV6060016,UV606,Occupation,scot,v51,Labour Market
5 Skilled trades occupations,UV6060019,UV606,Occupation,scot,v52,Labour Market
6 Caring leisure and other service occupations,UV6060024,UV606,Occupation,scot,v53,Labour Market
7 Sales and customer service occupations,UV6060028,UV606,Occupation,scot,v54,Labour Market
8 Process plant and machine operatives,UV6060031,UV606,Occupation,scot,v55,Labour Market
9 Elementary occupations,UV6060034,UV606,Occupation,scot,v56,Labour Market
Economically active: Unemployed,UV6010012,UV601,Economic activity,scot,v57,Labour Market
Level 1 Level 2 or Apprenticeship,level_1_2_and_appr,UV501,Highest level of qualification,scot,v58,Education
Level 3 qualifications,UV5010006,UV501,Highest level of qualification,scot,v59,Education
Level 4 qualifications or above,UV5010007,UV501,Highest level of qualification,scot,v60,Education
